Name	Action	src Zone	src Addr	dest Zone	dest Addr	App	Service
DROP ALL	drop	any	any	any	any	any	any
internal DNS routing	allow	internal, public, user	any	user	ubuntu, Win2008	any	DNS-TCP, DNS-UDP
